,RANK,BRAND,CATEGORIES,SUBCATEGORIES,FOLLOWERS,ER,iPOSTS ON HASHTAG,MEDIA POSTED
0,1,Selena Gomez,celebrities,musicians,105.4M,2.62%,14.5M,1.2k
1,2,Taylor Swift,celebrities,musicians,95.2M,1.96%,10.5M,958
2,3,Ariana Grande,celebrities,musicians,92.3M,1.43%,16.9M,2.8k
3,4,Beyonce,celebrities,musicians,90.6M,2.53%,9.2M,1.4k
4,5,Kim Kardashian West,celebrities,tv,89.3M,1.39%,5.1M,3.6k
5,6,Cristiano Ronaldo,celebrities,athletes,85.1M,2.62%,3.6M,1.6k
6,7,Kylie,celebrities,models,81.8M,1.89%,6.2M,4.9k
7,8,Justin Bieber,celebrities,musicians,77.9M,1.66%,26.2M,3.8k
8,9,therock,celebrities,athletes,73.3M,1.24%,1.1M,2.5k
9,10,Kendall,celebrities,models,70.9M,1.78%,3.4M,2.7k
10,11,Nicki Minaj,celebrities,musicians,70.8M,0.93%,3.7M,4.2k
11,12,nike,fashion,sport,68.2M,1.76%,50.6M,880
12,13,National Geographic,media,,65.8M,1.14%,5.3M,12.7k
13,14,Nj,celebrities,athletes,64M,1.52%,3.3M,3.6k
14,15,Leo Messi,celebrities,athletes,61.9M,4.27%,5.1M,180
15,16,Khloe,celebrities,tv,60.2M,2.16%,1.4M,3.1k
16,17,KATY PERRY,celebrities,musicians,59.6M,1.50%,3.3M,507
17,18,Miley Cyrus,celebrities,musicians,57.8M,1.41%,6M,5.8k
18,19,Jennifer Lopez,celebrities,musicians,55.1M,1.23%,1.2M,1.6k
19,20,Demi Lovato,celebrities,musicians,51.3M,2.65%,6M,1.5k
20,21,Kourtney Kardashian,celebrities,tv,50.7M,1.24%,1M,3k
21,22,Victoria's Secret,fashion,,49.1M,1.03%,3.5M,4.3k
22,23,badgalriri,celebrities,musicians,47.3M,1.53%,1.1M,3.7k
23,24,Kevin Hart,celebrities,actors,45.9M,0.68%,805.8k,4k
24,25,FC Barcelona,sport,football,43.3M,1.78%,2.9M,8.9k
25,26,Real Madrid C.F.,sport,football,41.8M,2.02%,6.6M,1k
